site_id,tran_id,date,detection,obs_1,obs_2,obs_3,obs_4,col_point,utm_x,utm_y,elev,time,avg_wind_spd,air_temp,rel_hum,gr_temp,rock_ind,shr_nw,shr_ne,shr_se,shr_sw,pp_mam,pp_rep,pp_gbird,shr_m_dist,shr_m_area,shr_density,pp_total
fort_pearce,FP097,3/26/2025,0,EK,JK,QJ,SSS,1,284902,4098828,943,10:53:00,1.4,26.1,18,28,4,58,48,92,111,0,0,0,1.6355,2.67486025,0.373851307,1
fort_pearce,FP097,3/26/2025,0,EK,JK,QJ,SSS,2,284747,4099044,948,11:11:00,0.7,26.1,20,29.5,4,157,134,49,131,0,0,0,1.6355,2.67486025,0.373851307,1
fort_pearce,FP097,3/26/2025,0,EK,JK,QJ,SSS,3,284623,4099243,941,11:25:00,1,25.2,18,31,3,135,101,108,106,0,0,0,1.6355,2.67486025,0.373851307,1
fort_pearce,FP097,3/26/2025,0,EK,JK,QJ,SSS,4,284483,4099455,944,11:39:00,1.7,25.6,16,30.5,3,146,79,106,258,0,0,0,1.6355,2.67486025,0.373851307,1
fort_pearce,FP097,3/26/2025,0,EK,JK,QJ,SSS,5,284342,4099661,940,11:52:00,1.1,27.5,17,32.5,3,677,306,229,240,1,0,0,1.6355,2.67486025,0.373851307,1
fort_pearce,FP110,3/26/2025,0,EK,QJ,NA,NA,1,283856,4099203,958,9:11:00,1.4,19.6,25,20,6,180,142,168,132,0,0,0,1.8335,3.36172225,0.297466574,4
fort_pearce,FP110,3/26/2025,0,EK,QJ,NA,NA,2,284077,4099148,944,9:30:00,2.7,20.5,24,21.5,5,95,300,295,280,0,0,0,1.8335,3.36172225,0.297466574,4
fort_pearce,FP110,3/26/2025,0,EK,QJ,NA,NA,3,284324,4099101,942,9:48:00,2.1,22.3,22,24,5,390,135,230,245,2,0,0,1.8335,3.36172225,0.297466574,4
fort_pearce,FP110,3/26/2025,0,EK,QJ,NA,NA,4,284575,4099055,939,10:09:00,1.6,23.5,20,23.5,4,120,90,110,115,0,0,0,1.8335,3.36172225,0.297466574,4
fort_pearce,FP110,3/26/2025,0,EK,QJ,NA,NA,5,284841,4099012,933,10:30:00,1.8,21,20,27,4,80,140,100,320,0,0,2,1.8335,3.36172225,0.297466574,4
fort_pearce,FP119,3/26/2025,0,JK,SSS,NA,NA,1,283849,4099316,954,9:11:00,1.4,19.3,20,18,5,110,92,162,311,0,0,0,1.65,2.7225,0.367309458,0
fort_pearce,FP119,3/26/2025,0,JK,SSS,NA,NA,2,284063,4099235,913,9:29:00,1.9,19.8,17,19,5,79,75,172,73,0,0,0,1.65,2.7225,0.367309458,0
fort_pearce,FP119,3/26/2025,0,JK,SSS,NA,NA,3,284346,4099128,947,9:51:00,1.8,22.4,19,20,4,168,182,205,112,0,0,0,1.65,2.7225,0.367309458,0
fort_pearce,FP119,3/26/2025,0,JK,SSS,NA,NA,4,284585,4099022,948,10:10:00,2.1,21.8,18,22,4,154,151,332,166,0,0,0,1.65,2.7225,0.367309458,0
fort_pearce,FP119,3/26/2025,0,JK,SSS,NA,NA,5,284798,4098945,946,10:29:00,1.2,23.5,19,22.5,4,196,252,119,189,0,0,0,1.65,2.7225,0.367309458,0
white_reef,WR037,3/27/2025,0,EK,QJ,NA,NA,1,287704,4121742,916,12:44:00,1.2,31.3,10,35.5,4,505,505,204,505,0,0,0,2.933,8.602489,0.116245426,1
white_reef,WR037,3/27/2025,0,EK,QJ,NA,NA,2,287632,4121482,952,13:00:00,0,28.9,10,36,4,161,270,207,312,0,0,0,2.933,8.602489,0.116245426,1
white_reef,WR037,3/27/2025,0,EK,QJ,NA,NA,3,287503,4121277,961,13:18:00,10.5,26.3,12,33,4,205,148,505,219,1,0,0,2.933,8.602489,0.116245426,1
white_reef,WR037,3/27/2025,0,EK,QJ,NA,NA,4,287363,4121067,939,13:36:00,7.6,26.9,12,31,4,266,314,95,185,0,0,0,2.933,8.602489,0.116245426,1
white_reef,WR037,3/27/2025,0,EK,QJ,NA,NA,5,287226,4120860,930,13:50:00,7.5,27.2,12,36,4,488,154,505,113,0,0,0,2.933,8.602489,0.116245426,1
